year,direction,family,state,tail,n,flagged,symbols,exchanges,loser_rejection,winner_sacrifice,selective_efficiency,TP1,TP1_rate,Loss,Full_Stop,Avg_R,Net
2024,LONG,compression,MILD_COMPRESSION,LOSER,3,33,30,1,0.7931034482758621,0.7692307692307693,0.023872679045092826,10,30.303030303030305,23,22,0.18359372520912168,54.16169161993926
2024,LONG,compression,MILD_COMPRESSION,LOSER,5,32,29,1,0.8148148148148148,0.7692307692307693,0.045584045584045496,10,31.25,22,21,0.22253306074429913,66.06726771036543
2024,LONG,compression,NO_COMPRESSION,NONE,0,1,1,1,0.03125,0.0,0.03125,0,0.0,1,1,-1.1572762284219993,-11.243862895265044
2024,LONG,compression,NO_COMPRESSION,WINNER,1,1,1,1,0.03125,0.0,0.03125,0,0.0,1,1,-1.1572762284219993,-11.243862895265044
2024,LONG,compression,NO_COMPRESSION,WINNER,3,1,1,1,0.03125,0.0,0.03125,0,0.0,1,1,-1.1572762284219993,-11.243862895265044
2024,LONG,compression,NO_COMPRESSION,WINNER,5,1,1,1,0.03125,0.0,0.03125,0,0.0,1,1,-1.1572762284219993,-11.243862895265044
2024,LONG,compression,NO_COMPRESSION,LOSER,1,1,1,1,0.03225806451612903,0.0,0.03225806451612903,0,0.0,1,1,-1.1572762284219993,-11.243862895265044
2024,LONG,compression,NO_COMPRESSION,LOSER,3,1,1,1,0.034482758620689655,0.0,0.034482758620689655,0,0.0,1,1,-1.1572762284219993,-11.243862895265044
2024,LONG,compression,NO_COMPRESSION,LOSER,5,1,1,1,0.037037037037037035,0.0,0.037037037037037035,0,0.0,1,1,-1.1572762284219993,-11.243862895265044
2024,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,NONE,0,1,1,1,0.03125,0.0,0.03125,0,0.0,1,1,-1.1987011685285611,-12.442340304921778
2024,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,WINNER,1,1,1,1,0.03125,0.0,0.03125,0,0.0,1,1,-1.1987011685285611,-12.442340304921778
2024,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,WINNER,3,1,1,1,0.03125,0.0,0.03125,0,0.0,1,1,-1.1987011685285611,-12.442340304921778
2024,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,WINNER,5,1,1,1,0.03125,0.0,0.03125,0,0.0,1,1,-1.1987011685285611,-12.442340304921778
2024,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,LOSER,1,0,0,0,0.0,0.0,0.0,0,,0,0,,0.0
2024,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,LOSER,3,0,0,0,0.0,0.0,0.0,0,,0,0,,0.0
2024,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,LOSER,5,0,0,0,0.0,0.0,0.0,0,,0,0,,0.0
2024,LONG,volume_state,FLAT,NONE,0,18,16,1,0.375,0.46153846153846156,-0.08653846153846156,6,33.33333333333333,12,11,0.5471751297374742,95.35188280490624
2024,LONG,volume_state,FLAT,WINNER,1,17,15,1,0.375,0.4166666666666667,-0.041666666666666685,5,29.411764705882355,12,11,0.3040768205217693,47.18796180119031
2024,LONG,volume_state,FLAT,WINNER,3,16,14,1,0.375,0.4,-0.025000000000000022,4,25.0,12,11,0.03340383798734482,-0.3443538368167296
2024,LONG,volume_state,FLAT,WINNER,5,15,13,1,0.375,0.375,0.0,3,20.0,12,11,-0.2706345658954435,-45.79267780980479
